Type_AR,Type_EN
C300,C300
باترول,Patrol
صني,Sunny
النترا,Elantra
اكورد,Accord
لاندكروزر,Land Cruiser
يوكن,Yukon
امبالا,Impala
يارس,Yaris
كامري,Camry
تاهو,Tahoe
CLA,CLA
E,E
اكسنت,Accent
كورولا,Corolla
كوبر,Copper
برادو,Prado
سيفيك,Civic
فورتشنر,Furniture
RX,RX
رنج روفر,Range Rover
افالون,Avalon
باص اورفان,Bus Urvan
اوريون,Aurion
ماليبو,Malibu
راف فور,Rav4
CX9,CX9
اكسبدشن,Expedition
ES,ES
كادينزا,Cadenza
توسان,Tucson
بلاتنيوم,Platinum
G80,G80
سوناتا,Sonata
LX,LX
سنتافي,Senta fe
GX,GX
ازيرا,Azera
CT-S,CT-S
EC7,EC7
ZS,ZS
كونا,Kona
جراند شيروكي,Grand Cherokee
اوبتيما,Optima
S,S
M,M
تشارجر,Charger
تورس,Taurus
599 جي تي بي فيورانون,GTB 599 Fiorano
سوبربان,Suburban
رويال,Royal
بيكانتو,Picanto
باور,Power
ددسن,Datsun
F-Pace,F-Pace
هايلكس,Hilux
اف جي,FJ
اكسبلورر,Explorer
ربع,Land Cruiser 70
GS8,GS8
مكسيما,Maxima
كابرس,Caprice
تشالنجر,Challenger
كمارو,Camaro
سيمبول,Symbol
فلوينس,Fluence
6,6
RX5,RX5
ايه بي في,APV
3008,3008
SRX,SRX
سيراتو,Cerato
ترافرس,Traverse
ماركيز,Marquis
اينوفا,Innova
سييرا,Sierra
اف 150,F150
جنسس,Genesis
NX,NX
C,C
G70,G70
فلكس,Flex
UX,UX
دينا,Dyna
كوريس,Cores
كريتا,Creta
ريو,Rio
اوديسي,Odyssey
EC8,EC8
باص سيلفيان,Sylvian Bus
CT6,CT6
H1,H1
سيكويا,Ciocca
شاص,Land Cruiser Pickup
كرسيدا,Cressida
سبورتاج,Sportage
داستر,Duster
السفن,Seven
GLC,GLC
كرنفال,Carnival
H6,H6
300,300
الفئة السابعة,The 7
سبارك,Spark
Z370,Z370
فكتوريا,Victoria
غوست,Ghost
911,911
اتراج,Attrage
فوكس,Focus
أكس تريل,X-Trail
فوريستر,Forester
CX5,CX5
بيك اب,Pick up
ML,ML
الفئة الرابعة,The 4
GS,GS
باجيرو,Pajero
اكاديا,Acadia
سيتى,City
ايكو سبورت,Echo Sport
فيجو,Vego
الفئة الخامسة,The 5
سلفرادو,Silverado
A5,A5
شيروكي,Cherokee
التيما,Altima
الفئة X,X
نافيغاتور,Navigator
رانجلر,Wrangler
G,G
XT5,XT5
كروز,Cruze
نافارا,Navara
طوارق,Touareg
جران ماكس,Gran Max
اسكاليد,Escalade
كاين اس,Cayenne S
افيو,Aveo
سول,Soul
دورانجو,Durango
مونتيرو,Montero
برستيج,Prestige
سنترا,Sentra
دوكر,Dokker
فيلوستر,Veloster
فيوجن,Fusion
كابتشر,Capture
باثفندر,Pathfinder
سيلتوس,Seltos
بهبهاني,Behbehani
LS,LS
امجراند,Emgrand
كارينز,Carenz
SEL,SEL
الفئة السادسة,The 6
SL,SL
H2,H2
فيورينون,Fiorino
ناتيفا,Nativa
تاليسمان,Talisman
كورفيت,Corvette
CL,CL
بليزر,Blazer
موستنج,Mustang
5008,5008
CX3,CX3
بينتايجا,Bentayga
A,A
T77,T77
اوبترا,Optra
تريل بليزر,Trailblazer
سافران,Safrane
QX,QX
بايلوت,Pilot
تيجوو,Tiggo
رانجر,Ranger
H9,H9
ايدو,Eado
GLE,GLE
MKS,MKS
CT5,CT5
فتك,VTC
باناميرا,Panamera
CS35,CS35
تويوتا 86,Toyota 86
كول راي,Coolray
كونتريمان,Countryman
دي ماكس,D-MAX
ازكارا,Azkarra
بارتنر,Partner
301,301
A6,A6
بريفيا,Previa
اكستيرا,X-Terra
أخرى,Other
هايس,Hiace
مايباخ,Maybach
V7,V7
CS75,CS75
فلاينج سبير,Flying Spur
اوتلاندر,Outlander
GT,GT
سورينتو,Sorento
فانكويش,Vanquish
سفاري,Safari
K5,K5
ڤانتج,Vantage
اتش ار في,HRV
3,3
Q5,Q5
CT4,CT4
إم كيه إكس,MKX
S5,S5
X7,X7
CS95,CS95
راش,Rush
2,2
دلتا,Delta
IS,IS
كاين,Cayenne
CS35 Plus,CS35 Plus
SE,SE
كيكس,KICKS
Q,Q
CS85,CS85
ارمادا,Armada
اوبيروس,Opirus
ايكو,Echo
افانزا,Avanza
GLB,GLB
جراند تيريوس,Terios Ground
ابيكا,Abeka
بونفيل,Bonneville
5,5
S300,S300
كورولا كروس,Corolla Cross
كوليوس,Koleos
308,308
ام ار في,MR-V
تاون كار,Town Car
كومباس,Compass
ايدج,Edge
جراند ماركيز,Grand Marquis
A8,A8
جراند فيتارا,Grand Vitara
موهافي,Mohave
اس تايب,X Type
لومينا,Lumina
تيدا,Tiida
500,500
ماكان,Macan
سافانا,Savana
باسات,Passat
CLS,CLS
ستينجر,Stinger
فيانو,Viano
A3,A3
S8,S8
RX8,RX8
اكس جيه آر,XJR
RC,RC
إم كيه زد,MKZ
سي سي,CC
كوستر,Coaster
C-HR,C-HR
S7,S7
وينغل,Wingle
تيرين,Terrain
كولورادو,Colorado
رام,Ram
فيتارا,Vitara
جوك,Juke
سي200,C200
FX,FX
تيريوس,Terios
فليتوود,Fleetwood
ميلان,Milan
كايمان,Cayman
بوكسر,Boxer
ATS,ATS
كاديلاك,Cadillac
ريكستون,Rexton
اتش 3,H3
تندرا,Tundra
انفوي,Envoy
T60,T60
بريوس,Prius
ماونتينير,Montero2
جاغوار,Jaguar
باص روزا,Osa Bus
F3,F3
اكس اف,XF
جيبلي,Gamble
الفئة الثالثة,The 3
كوراندو,Koranado
L200,L200
كراون,Crown
لانسر,Lancer
360,360
جيمني,Jimny
Q7,Q7
اكس جيه,XJ
LF X60,LF X60
تاون آند كانتري,Town and Country
فان,Van
باتريوت,Patriot
GL,GL
الفئة M,The M
آرنايج,Arnage
إيه أس إكس,ASX
اف تايب,F Type
جولف,Golf
E350,E350
كوبيه اس,Coupe S
فريستار,Freestar
كمارج,Camargue
دوبلو,Doblo
4Runner,4Runner
M300,M300
البي,ALB
اكتروس,Actros
DTS,DTS
افلانش,Avalanche
باص كونتي,Bus County
برستيج بلس,Prestige Plus
بي تي 50,BT-50
اتش 2,H-2
الفئة Z,Z
أفانتي,Avante
ديسكفري,Discovery
A4,A4
B50,B50
K4000G,K4000G
سبرينتر,Sprinter
كواتروبورت,Quattroporte
برونكو,Bronco
داكوتا,Dakota
بيتل,Beetle
كوبيه,Coupe
ميني باص,Mini Van
كونتيننتال,Continental GT
ارتيجا,Ertiga
GS3,GS3
ديفندر,Defender
A7,A7
جلوريا,Gloria
SLK,SLK
توسكاني,Tuscani
بوز 24,POS24
كابتيفا,Kaptiva
مورانو,Murano
دي بي 9,DB9
ليفانتي,Levante
جيتا,Jetta
إتش 100,H100
GLA,GLA
ترانسيت,Transit
سيينا LE,Sienna LE
CRV,CRV
ثندربيرد,Thunderbird
350,350
اكسنون,Nexon
i40,i40
كايين توربو اس,Cayenne Turbo S
تيجوان,Tiguan
GC7,GC7
STS,STS
سوبر كارى,Super Carry
لوجان,Logan
i10,i10
L300,L300
ديزاير,Dzire
LR2,LR2
سنتينيال,Centennial
اكسور,Axor
كايين توربو,Cayenne Turbo
ميني كوبر,Mini Cooper
Z350,Z350
نيترو,Nitro
فان ركاب,Van R
323,323
كروستور,Crosstour
SX4,SX4
سوفانا,Suvana
ليبرتى,Liberty
X40,X40
مونتيغو,Montero1
باص,Bus
ميجان,Megane
فابيا,Fabia
اتيكو,Atego
J5,J5
فان اكسبريس,Van Express
دايلي,Daily
كارنس,Carens
نيويوركر,New Yorker
FH,FH
G330,G330
كابريس كلاسيك,Caprice Classic
كوماندر,Commander
الفئة الأولى,The 1
سيدونا,Sedona
كايين جي تي اس,Cayenne Turbo GTS
جراند فوياجر,Grand Voyager
SRT,SRT
بورا,Bora
HS,HS
ديماكس,D'max
سيلفيا,Silvia
الدورادو,Eldorado
بيجاس,Pegas
بالسيد,Palisade
سيليريو,Celerio
لايلاند,Leyland
شاحنة,Big Truck
اكس سي 90,XC90
C5700,C5700
سوبيرب,Superb
GS4,GS4
ال إس,The LS
لينيا,Linea
فوسو كانتر,Fuso Canter
فيراكروز,Veracruz
307,307
S6,S6
سبايس ستار,Space Star
ريفيرا,Riviera
ِACTIS V80,ِACTIS V80
CX7,CX7
R,R
كيو كيو,QQ
جالنت,Galant
ترافيك,Trafic
كاري,Carry
